[2024-02-06 05:40:09,514]-[INFO]-#Consumer Script Started
[2024-02-06 05:40:09,517]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
[2024-02-06 05:40:09,517]-[INFO]-#Probing node bootstrap-0 broker version
[2024-02-06 05:40:09,518]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
[2024-02-06 05:40:09,623]-[INFO]-#Broker version identified as 2.5.0
[2024-02-06 05:40:09,623]-[INFO]-#Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-02-06 05:40:09,624]-[WARNING]-#group_id is None: disabling auto-commit.
[2024-02-06 05:40:09,624]-[INFO]-#Updating subscribed topics to: ('weather-data',)
[2024-02-06 05:40:09,624]-[INFO]-#Consumer connected to Server
[2024-02-06 05:40:09,639]-[INFO]-#Connected to the PostgreSQL server successfully.
[2024-02-06 05:40:09,649]-[INFO]-#('Last Executed Query', b'\n    CREATE TABLE IF NOT EXISTS weather_data (\n        city VARCHAR,\n        temperature FLOAT,\n        windspeed FLOAT,\n        humidity FLOAT,\n        received_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP)\n    ')
[2024-02-06 05:40:09,670]-[INFO]-#Connected to the PostgreSQL server successfully.
[2024-02-06 05:40:09,672]-[INFO]-#Updated partition assignment: [TopicPartition(topic='weather-data', partition=0)]
[2024-02-06 05:43:28,229]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:28.226592')
[2024-02-06 05:43:33,234]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:33.227669')
[2024-02-06 05:43:38,239]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:38.232256')
[2024-02-06 05:43:43,250]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:43.240875')
[2024-02-06 05:43:48,255]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:48.246817')
[2024-02-06 05:43:53,259]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:53.252285')
[2024-02-06 05:43:58,273]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:43:58.265077')
[2024-02-06 05:44:03,266]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:03.260047')
[2024-02-06 05:44:08,271]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:08.264392')
[2024-02-06 05:44:13,280]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:13.272252')
[2024-02-06 05:44:18,287]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:18.279844')
[2024-02-06 05:44:23,301]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:23.293594')
[2024-02-06 05:44:28,303]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:28.296235')
[2024-02-06 05:44:33,319]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:33.311335')
[2024-02-06 05:44:38,326]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:38.316489')
[2024-02-06 05:44:43,315]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:43.308574')
[2024-02-06 05:44:48,318]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:48.311813')
[2024-02-06 05:44:53,323]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:53.316396')
[2024-02-06 05:44:58,326]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:44:58.319397')
[2024-02-06 05:45:03,346]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:03.337293')
[2024-02-06 05:45:08,345]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:08.339450')
[2024-02-06 05:45:13,364]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:13.356391')
[2024-02-06 05:45:18,355]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:18.347376')
[2024-02-06 05:45:23,359]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:23.352814')
[2024-02-06 05:45:28,362]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:28.355562')
[2024-02-06 05:45:33,367]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:33.360227')
[2024-02-06 05:45:38,370]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:38.364099')
[2024-02-06 05:45:43,391]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:43.382295')
[2024-02-06 05:45:48,392]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:48.384123')
[2024-02-06 05:45:53,395]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:53.387310')
[2024-02-06 05:45:58,396]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:45:58.389526')
[2024-02-06 05:46:03,409]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:03.402175')
[2024-02-06 05:46:08,414]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:08.404874')
[2024-02-06 05:46:13,422]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:13.415813')
[2024-02-06 05:46:18,438]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:18.429149')
[2024-02-06 05:46:23,437]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:23.429062')
[2024-02-06 05:46:28,440]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:28.432078')
[2024-02-06 05:46:33,443]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:33.436822')
[2024-02-06 05:46:38,466]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:38.457462')
[2024-02-06 05:46:43,469]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:43.460982')
[2024-02-06 05:46:48,469]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:48.461961')
[2024-02-06 05:46:53,483]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:53.474959')
[2024-02-06 05:46:58,484]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:46:58.475853')
[2024-02-06 05:47:03,487]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:03.480159')
[2024-02-06 05:47:08,490]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:08.484351')
[2024-02-06 05:47:13,494]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:13.488685')
[2024-02-06 05:47:18,498]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:18.491769')
[2024-02-06 05:47:23,505]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:23.498605')
[2024-02-06 05:47:28,521]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:28.513415')
[2024-02-06 05:47:33,523]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:33.516345')
[2024-02-06 05:47:38,530]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:38.521241')
[2024-02-06 05:47:43,531]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:43.523929')
[2024-02-06 05:47:48,538]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:48.531796')
[2024-02-06 05:47:53,553]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:53.542872')
[2024-02-06 05:47:58,564]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:47:58.556126')
[2024-02-06 05:48:03,592]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:03.583544')
[2024-02-06 05:48:08,584]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:08.577355')
[2024-02-06 05:48:13,586]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:13.579133')
[2024-02-06 05:48:18,591]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:18.585390')
[2024-02-06 05:48:23,594]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:23.587848')
[2024-02-06 05:48:28,600]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:28.593030')
[2024-02-06 05:48:33,597]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:33.595752')
[2024-02-06 05:48:38,605]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:38.598998')
[2024-02-06 05:48:43,616]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:43.608536')
[2024-02-06 05:48:48,615]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:48.608453')
[2024-02-06 05:48:53,617]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:53.611189')
[2024-02-06 05:48:58,628]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:48:58.619922')
[2024-02-06 05:49:03,625]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:03.619086')
[2024-02-06 05:49:08,631]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:08.623935')
[2024-02-06 05:49:13,649]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:13.641863')
[2024-02-06 05:49:18,641]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:18.635086')
[2024-02-06 05:49:23,647]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:23.641196')
[2024-02-06 05:49:28,655]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:28.649445')
[2024-02-06 05:49:33,655]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:33.649165')
[2024-02-06 05:49:38,660]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:38.652816')
[2024-02-06 05:49:43,665]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:43.658707')
[2024-02-06 05:49:48,684]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:48.674588')
[2024-02-06 05:49:53,689]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:53.681556')
[2024-02-06 05:49:58,698]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:49:58.684490')
[2024-02-06 05:50:03,700]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:50:03.690126')
[2024-02-06 05:50:08,718]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:50:08.702833')
[2024-02-06 05:50:13,710]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:50:13.697844')
[2024-02-06 05:50:18,714]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:50:18.708645')
[2024-02-06 05:50:23,715]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:50:23.705550')
